6.9	16.2
0.1	13.3
9.3	3.6
2.6	15.8
2.2	13.8
3.6	5
2.8	17.5
5.6	7.4
8.3	8.5
6	9.5
2.1	12.8
2.9	16.2
5.2	20.3
1.3	18.2
0.8	8.3
6	20.4
4	13.1
7.8	1.9
2.5	5.3
4.1	13.2
2.4	18.8
7.6	12.1
6.3	16.5
7.7	18.8
9.9	15.8
9.3	12.5
0.5	2.2
4	9.2
3.8	19
7.2	6.2
0.9	2.5
4.5	15.3
3.8	18.2
9.1	15.4
5.7	6.4
7.1	13.8
7.9	17.4
0.8	5.6
3	19.8
6.3	9.2
8.3	20.1
10	16.1
1.2	17.7
4.1	6.3
2	5.9
9.3	6.8
7.6	9.5
5.6	6.6
5.4	18.4
3	11.6
3.7	17.7
0.4	14.2
2.8	17.7
7.8	3.4
3.9	8.2
7.7	15.1
3.2	19
6.3	7.2
4.6	14.7
9.5	2.9
7.9	7.7
4.1	7.2
3.8	17.4
8.9	19.3
9.4	7.6
0.6	19.6
6.3	14.3
9.7	15.5
7	7.8
6.1	8.7
2	11.9
5.1	8.6
6.5	4.2
1.1	16.4
3.4	15.9
6.3	5.4
5.6	2.1
5	14.4
5.9	16.9
8.5	8
5.3	0.8
1	2.1
1.2	11.7
8.2	11.9
1.4	1.8
7.8	18.9
7.4	13.6
7.7	11.4
5.1	15.5
2.1	11.5
9	17.9
8.8	14.6
9.2	13.3
3.1	7.4
0.8	3.8
2.1	9.4
8.2	14.6
7.3	19.7
6.7	10
0.3	6.3
8.9	0.5
2	3.5
0.3	8.4
9.5	10.5
8.7	14.3
2.5	13.6
5.9	19.9
4.5	4.1
2.6	6.9
9.1	2.8
0.7	5.8
2	12
9.9	8.4
2.4	8.9
3.2	11.7
2.3	4.7
0.7	2.3
7.3	1.7
9.3	3
1.8	11.8
4.2	5
5.6	4
2.2	6.7
6.7	9.8
10	16.6
1.3	1
